title	description	coder 1	movie 1	topic 1	coder 2	movie 2	topic 2	final movie	final topic
Martin Scorsese Plays The Movie Bracket Challenge In New TikTok (& An Absolute Classic Wins)	Octogenarian auteur and certified cinephile Martin Scorsese participates in the TikTok movie bracket challenge, and a classic film wins his bracket.							NM	
The Joys of Carole Lombard, Zadie Smith, and High-School Movies	Entertainment musts from Jennifer Senior							NM	
Photos from the Hunger Games Los Angeles premiere	pic.twitter.com/y3vnq3GvgM — ' (@cravemedia_) November 14, 2023Tom Blyth and Rachel Zeglerpic.twitter.com/W4HvFzYglh — ' (@cravemedia_) November 14, 2023Hunter Schaferpic.twitter.com/jNqoYn244F — ' (@cravemedia_) November 14, 2023Viola Davispic.twitter.com…							HG	Promo
Francis Ford Coppola Says Ridley Scott ‘Should Be Given a Dukedom for Such Outstanding Outstanding Quality Output’	"There have been rare artists who astounded everyone with their best work while in their eighties, Coppola said, ""but we must take our hats off to Ridley."""							NM	Prod
The Hunger Games: The Ballad of Songbirds & Snakes Ending Explained & Spoilers	After The Hunger Games: The Ballad of Songbirds & Snakes‘ ending left many fans speechless, they are curious about what really happened. Here is the ending explained with spoilers. Did Lucy Gray-Baird die? It is unknown if Lucy Gray-Baird died or is still ali…							HG	Plot
Martin Scorsese To Receive David O. Selznick Award From PGA	Martin Scorsese has has received virtually every award possible for his work, including an Oscar, a Grammy, Emmys, Golden Globes, BAFTA and DGA awards, the AFI Life Achievement Award, the HFPA’s Cecil B. DeMille Award and a Kennedy Center Honor. On February 2…							NM	Awards
Apple original film ‘Killers of the Flower Moon’ will be available to buy/rent from tomorrow	The much-hyped Apple original film Killers of the Flower Moon (starring Leonardo DiCaprio, Robert De Niro, and Lily Gladstone) will be available on video-on-demand services to buy or rent from tomorrow, Apple announced today. It will be available at “leading …							KOTFM	Streaming
Here are the winners from the 2023 Gotham Awards	The Gotham Awards were tonight, which means that the Joker took his yearly one-night sabbatical to allow awards season to officially begin. The Gotham Awards ceremony is among the first shows of the entertainment awards marathon we’ll be running for the next …							NM	Awards
Toho's GODZILLA MINUS ONE Broke a Box Office Record	This past weekend, Toho released Godzilla Minus One in the United States, and for a Japanese film, it had an awesome debut and even broke a box office record. Godzilla Minus One pulled in $11 million in its domestic debut, giving it the all-time highest openi…							Godzilla	Box
‘The Hunger Games: The Ballad of Songbirds & Snakes’ Review: Is There Any Appetite Left?	This Hunger Games prequel is well-made and entertaining, but its dystopia may edge too close to present reality.							HG	Plot
The Marvels Mid-Credits Scene Gave Iman Vellani A 'Heart Attack' [Exclusive]	The Marvels star Iman Vellani is a fan of the MCU, so when she saw the mid-credits scene of her movie, she fangirled out for real.							Marvels	Plot
“The Hunger Games: The Ballad Of Songbirds & Snakes” Makes It To New York	Hnter Schafer continues to kill this. The post “The Hunger Games: The Ballad Of Songbirds & Snakes” Makes It To New York first appeared on Go Fug Yourself.							HG	Promo
Rachel Zegler, Tom Blyth, & More Stars Stun at 'The Hunger Games: The Ballad of Songbirds & Snakes' World Premiere	The Hunger Games: The Ballad of Songbirds and Snakes is having its world premiere! Stars hit the red carpet on Thursday (November 9) in London, England to celebrate the release of the film, which opens in theaters worldwide on November 17. Rachel Zegler, Tom …							HG	Promo
THE HUNGER GAMES: THE BALLAD OF SONGBIRDS & SNAKES Star Hunter Schafer in Balmain and Alexandre Vauthier on THE TONIGHT SHOW	Miss Hunter knows the value of a kickass walking-out-of-the-studio look for the paps and the value of a sweetly cute on-camera look for the folks at home.   It hasn’t been quite cold enough for something this dramatically large and heavy, but she clearly does…							HG	Promo
How Ridley Scott’s Napoleon Stacks Up Against the French Emperor’s Real Story	A Napoleon scholar breaks down where Ridley Scott's new movie, starring Joaquin Phoenix, hews close to history, and where it takes creative license.							Napoleon	Plot
Killers Of The Flower Moon's Original Ending Almost Sent Up A Classic Jimmy Stewart Movie	The way Martin Scorsese ended Killers of the Flower Moon will go down in film history books, but he almost ended the film in a different, equally powerful way.							KOTFM	Plot
National Board of Review Names Best Movies & Actors of 2023 - Full Winners List Revealed!	The National Board of Review is announcing their picks for the best of the best in film! The organization revealed their choices on Wednesday (December 6). The winner of NBR’s best film has typically gone on to receive an Oscar nomination for best picture, wi…							NM	
The Hunger Games: The Ballad of Songbirds & Snakes Pitch Meeting	The new episode of Screen Rant's Pitch Meeting series takes a look at The Hunger Games: The Ballad of Songbirds &amp; Snakes and the flaws of the prequel.							HG	Plot
Five Nights At Freddy’s Box Office Passes Big Horror Movie Milestone	Five Nights at Freddy's, which is adapted from the video game franchise of the same name, surpasses an important milestone at the global box office.							FNAF	Box
Netflix’s Memorabilia Shop Is Having a Black Friday Sale	Love sales on ‘Stranger Things’ basketballs, Bruce Lee action figures, and ‘Cowboy Bebop’ shirts? Buddy, you’re not gonna believe this.							NR	
When is The Marvels coming to Disney Plus?	Want to know when you can watch The Marvels on Disney Plus? We try to answer that question.							Marvels	Streaming
Bill & Ted's Napoleon reflects on ice cream, water slides, and learning French	Joaquin Phoenix may be the latest actor to play Napoleon Bonaparte, but he certainly isn’t the first (nor will he be the last). Of all the people who’ve played the French emperor, from Marlon Brando to Verne Troyer, one looms large in our collective memories:…							Napoleon	NR
Martin Scorsese Honors Robbie Robertson’s Legacy with Tribute Concert: The Musician ‘Broke Barriers’	"The late The Band guitarist and the auteur collaborated on films like ""Raging Bull,"" ""The Wolf of Wall Street,"" and ""Killers of the Flower Moon."""							KOTFM	NR
The Hunger Games: The Ballad of Songbirds & Snakes rakes in around $6 million in Thursday previews	The first entry in The Hunger Games series without Jennifer Lawrence has an uphill battle and reaches a humble $6 million on early showings. The post The Hunger Games: The Ballad of Songbirds & Snakes rakes in around $6 million in Thursday previews appeared f…							HG	Box
Black Friday Funko Pops Discounts Bring The Entire Multiverse To Your Desk	If there's something moderately popular at the movies or on TV, there's a good bet that you'll find a Funko Pop figure of it soon. One of the most popular collectibles around, Funko Pops are everywhere and they have their legions of fans. It's not hard to see…							NR	
‘Killers of the Flower Moon,’ ‘May December’ Surge in Oscar Race With NYFCC Awards	Martin Scorsese and his breakout star, Lily Gladstone, came out on top with the New York critics, but there was still room for the likes of other major Oscar contenders, including ‘Oppenheimer,’ ‘The Holdovers,’ and more.							KOTFM	Awards
The mystery around Robert De Niro’s “censored” Gotham Awards speech deepens	At last night’s Gotham Awards, Robert De Niro made a speech about Martin Scorsese and Killers Of The Flower Moon that, naturally (for De Niro), veered into a whole thing about Donald Trump and how he “lied to us more than 30,000 times during his four years in…							KOTFM	NR
Heads up! You can now score a pair of Pixel Buds Pro for just $119.99 with this Amazon Black Friday deal	With their tight Android integration, the Pixel Buds Pro are a compelling buy this Black Friday at $119.99							NR	
Godzilla Minus One Director Reveals The Surprising Biggest Challenge Of Prequel Movie's VFX	Takashi Yamazaki, the director of Godzilla Minus One, reveals the surprisingly biggest challenge of the prequel movie's VFX development.							Godzilla	Prod
‘Trolls Band Together’ Reviews Roundup: Vibrant And Colorful Animation Are Fun Enough, But The Sequel’s Plot Is Thin	Critics agree that there is a lot for kids to enjoy in the film, although their parents may not be as entertained.							Trolls	Plot
Kamala Khan Is The Future Of The MCU – And The Young Avengers May Be Next	The Marvels mixes no bones about giving Kamala Khan a critical role in the future of the Marvel Cinematic Universe, and yes, it seems to include Young Avengers.							Marvels	Plot
Godzilla Minus One Director Wants To Helm A Star Wars Movie, And Maybe Lucasfilm Should Listen [Exclusive]	With Godzilla Minus One, Takashi Yamazaki helmed one of the best Godzilla movies out there. The Japanese director now has sights set on a galaxy far, far away.							Godzilla	NR
Beyoncé’s ‘Renaissance’ Tops Box Office With $21 Million Debut	Beyoncé ruled the box office this weekend. Her concert picture, “Renaissance: A Film by Beyoncé,” opened in first place with $21 million in North American ticket sales, according to estimates from AMC Theatres Sunday.     The post-Thanksgiving, early December…							Renaissance	Box
Robert De Niro Says His Anti-Trump Comments Were Edited Out of Gotham Awards Speech	Robert De Niro‘s speech at the 2023 Gotham Awards did not go as planned. The 80-year-old actor was present at the event on Monday (November 27) in New York City to present the Historical Icon and Creator Tribute award for Martin Scorsese‘s Killers of the Flow…							KOTFM	NR
Independent Spirit Awards 2024 - Complete List of Nominations Revealed!	The full list of nominations for the 2024 Film Independent Spirit Awards has been announced! Movies are only eligible for a Spirit Award if they have a budget of less than $30 million, so there are some awards favorites like Maestro and Killers of the Flower …							KOTFM	Awards
‘Killers of the Flower Moon’ Initially Had a Very Different Opening Scene	Martin Scorsese told IndieWire why he and screenwriter Eric Roth changed the beginning of their Western epic.							KOTFM	Plot
Napoleon Review - Ridley Scott Does It Again	It's quite amusing to look at Napoleon next to Ridley Scott's most famous historical epic, the Best Picture-winner Gladiator. While Gladiator is more or less just an extremely well-made prestige film that hits all the right notes according to the traditional …							Napoleon	Plot
Is Beyoncé’s ‘Renaissance’ Concert Film Coming To Streaming Soon?	'Renaissance: A Film by Beyoncé' opened with $27.4 million in its first weekend in theaters. Here's when the Beyhive may be able to stream the concert movie at home.							Renaissance	Streaming
Lily Gladstone Champions Undistributed ‘Fancy Dance’ and ‘Killers of the Flower Moon’ at IndieWire Honors	"Instead of only touting ""Killers of the Flower Moon,"" Gladstone heralded the Indigenous drama ""Fancy Dance"" as the highlight of her career. The 2023 Sundance premiere still doesn't have a U.S. distributor."							KOTFM	Awards
Does The Hunger Games: The Ballad Of Songbirds & Snakes Have A Post-Credits Scene?	The Hunger Games franchise is back, but is there a Ballad of Songbirds &amp; Snakes post-credits scene teasing what's next for Snow and Lucy Gray?							HG	Plot
'Killers of the Flower Moon' Named Best Film by National Board of Review	Lily Gladstone and Martin Scorsese also picked up honors, and will be feted on Jan. 11 in New York							KOTFM	Awards
Why De Niro Paddles DiCaprio In Killers Of The Flower Moon Explained By Scorsese	Martin Scorsese explains why he felt it necessary to show Robert De Niro's character paddling Leonardo DiCaprio in Killers of the Flower Moon.							KOTFM	Plot
The Mail	Letters respond to Michael Luo’s review of a biography of Mitt Romney, Nikhil Krishnan’s review of “Determined,” by Robert M. Sapolsky, and Michael Schulman’s Profile of Ridley Scott.							NR	
‘The Marvels’ Post-Credits Scenes Give Fans Exactly What They Want	"Nia DaCosta's ""The Marvels"" ends with a single post-credits scene, but the path forward it hints at seems destined to change the MCU forever."							Marvels	Plot
The week in entertainment news: Matthew Perry tributes, and Young Sheldon grows up	Over the past few days, the main cast of Friends have all posted individual tributes to late actor Matthew Perry, which have ranged from hilarious to heartbreaking and everything in between. These heartfelt messages come after a short silence while the cast “…							NM	
The Marvels Credit Scene (And That Surprise Character Cameo) Explained	Stay in your seat when the credits start rolling on The Marvels, because the post-credits scene teases a major shake-up for the MCU.							Marvels	Plot
‘Renaissance: A Film by Beyoncé’ Tuning Up For $30M+ Global Opening – Box Office Preview	Refresh for more….AMC’s second concert movie theatrical release, Renaissance: A Film by Beyonce, hoping to liven up what is typically a dull frame at the box office –the post Thanksgiving/early December downer corridor– with what’s look like a $30M, maybe $40…							Renaissance	Box
The Five Nights At Freddy's Movie Finally Put A Bonnie Debate To Rest	Five Nights at Freddy&amp;#39;s Fans have been arguing the true color of Bonnie the bunny for years, but the movie finally puts an end to the blue vs. purple debate.							FNAF	Plot
Camerimage Festival Director Shares Statement About Adam Driver’s Viral Expletive Response During ‘Ferrari’ Audience Q&A	Adam Driver’s lowkey visit to Poland’s EnergaCamerimage Film Festival turned into a viral meme over the weekend after the actor gave an expletive response to a question during an audience Q&A following a screening of Ferrari.  Marek Zydowicz, the festival’s d…							NM	
'Napoleon' is a hit with the box office, but not so much with critics	"Ridley Scott and David Scarpa's ""Napoleon"" for Apple TV+ has been praised as a masterpiece and mocked as a joke, but its early Thanksgiving opening saw it beat ""Killers of the Flower Moon"" at the box office.Image Credit: Apple""Napoleon"" has just begun its the…"							Napoleon, KOTFM	Box
The Marvels: How many post-credits scenes are there in the latest MCU movie?	With every MCU movie, fans have to know: Does it have an end credits scene? DT reveals how many post-credits scenes The Marvels has and who shows up at the end.							Marvels	Plot
Brendan Fraser Finds In His First Major Role Post-Oscar Win With Searchlight’s ‘Rental Family’	EXCLUSIVE: After taking his time in finding his next big role after winning this years best actor Oscar, Brendan Fraser looks to have zeroed in on that role as sources tell Deadline he is set to star in Searchlight’s Rental Family. Beef helmer Hikari will dir…							NM	
Box Office Results: Hunger Games Snakes by Napoleon and Wish	Snow lands on top! The Hunger Games: The Ballad of Songbirds & Snakes topped the Thanksgiving box office in its second weekend, hauling in $28.8 million (3-day, -35%) and $41.1M (5-day) to bring its domestic total to $98.3M per Deadline. The prequel remained …							HG, Napoleon, Wish	Box
“The Hunger Games: The Ballad Of Songbirds & Snakes” Lands in Los Angeles at Last	And in full force! The post “The Hunger Games: The Ballad Of Songbirds & Snakes” Lands in Los Angeles at Last first appeared on Go Fug Yourself.							HG	Promo
John Woo Gives His Take On Superhero Films: “I Prefer Martin Scorsese’s Movies”	John Woo is giving his take on superhero movies and making it clear he’s not in favor of the films coming out of Marvel and DC Studios. In a new interview, Woo was asked to weigh on about recent movies he’s liked and is asked for his thoughts on comic book-ba…							NM	
Beyoncé's Concert Film Is Heading For An Impressive Box Office Debut	Beyonce's much-anticipated concert film, Renaissance: A Film by Beyonce, may earn one of the biggest opening weekends in December in history.							Renaissance	Box
'The Marvels' review: A chaotic cosmic headache	Marvel Studios' latest movie, The Marvels, exhibits all the symptoms of a rusty creative process. Despite some sparse bursts of charm, it lacks quality control.							Marvels	Plot
How Godzilla Minus One's Creature Is Different From The Monsterverse's Titan Explained By Director	Godzilla Minus One writer-director Takashi Yamazaki explains how the new movie's depiction of Godzilla differs from the American Monsterverse.							Godzilla	Plot
10 Most Visually Stunning Movies Of 2023	2023 brought a lot of visually stunning movies to the world, but 10 of them stand out for the remarkable spectacles they managed to create.							NM	
‘Killers Of The Flower Moon’ Set To Receive Palm Springs International Film Festival’s Vanguard Award	With the SAG strike behind us, the all-important film festivals that occur right in the heart of awards season are starting to take shape. A key stop is always the Palm Springs International Film Festival gala, which has just announced its first award, the Va…							KOTFM	Awards
Where Does Iman Vellani Think Marvel Can Improve? Start With The Fandom [Exclusive]	The Marvels star Iman Vellani has faith in the Marvel Cinematic Universe. If only the fans would &amp;#39;let them cook.&amp;#39;							Marvels	Plot
Scary First Trailer for Angry Imaginary Friend Horror Film 'Imaginary'	Maybe we shouldn't play together anymore, Chauncey!! Blumhouse + Lionsgate have revealed the first official trailer for a horror movie titled Imaginary, materializing in theaters in March next year. Not to be confused with the other 2024 movie starring Emil…							NM	
Is ‘The Hunger Games: The Ballad Of Songbirds & Snakes’ Streaming on Netflix or Prime Video?	It's almost time for the highly anticipated Hunger Games prequel.							HG	Streaming
'Hunger Games' prequel tramples 'Trolls' in box office battle royale, scores $44 million	The Hunger Games: The Ballad of Songbirds & Snakes outduels 'Trolls Band Together' to secure the box office title. The film debuts to $44 million, the lowest for any 'Hunger Games' installment.							HG, Trolls	Box
Ridley Scott Used Multiple Cameras While Filming ‘Napoleon’	Director Ridley Scott has revealed that he always uses at least four cameras while making movies and says his technique paid off for his latest historical epic, Napoleon. [Read More]							Napoleon	Prod
Martin Scorsese’s Family Pictures	On the the problem of love in Killers of the Flower Moon (2023).							KOTFM	Plot
Taylor Swift Supports Friend Emma Stone at 'Poor Things' Premiere After Person of the Year Reveal	Taylor Swift is attending her second movie premiere in as many weeks, and she’s supporting another famous friend in the process. The 33-year-old Midnights pop titan just hit the red carpet at Beyonce‘s Renaissance: A Film By Beyonce premiere in London, Englan…							Renaissance	Promo
Disney CEO Explains Why He Believes The Marvels Fell Short At The Box Office	The newest MCU movie, The Marvels, debuted this month and had the slowest start at the box office in the history of the MCU. Disney CEO Bob Iger recently discussed the film's commercial shortcomings, saying the poor results were due, in part, to a lack of exe…							Marvels	Box
Who Rules the Box Office? Beyoncé, Godzilla, and a Hindi-Language Thriller	"As ""Wish"" and ""The Marvels"" find new depths, salvation comes in the form of left-field releases from once-fringe players."							Renaissance, Godzilla, Marvels, Wish	Box
Here are all the MCU movies and shows you need to watch before The Marvels	Need a crash course on what's happening at Marvel before The Marvels? Then check out these MCU movies and shows so you can be ready for Captain Marvel's sequel.							Marvels	Plot
Godzilla Minus One Posters Giveaway for the Explosive Kaiju Movie	ComingSoon is holding a Godzilla Minus One poster giveaway to celebrate the release of Toho‘s explosive new kaiju movie. We have 15 posters of four different prints for the film to give away as part of the contest. Godzilla Minus One is now playing in theater…							Godzilla	Promo
Godzilla X Kong: The New Empire Trailer Reveals A Titanic Monster Tag Team	The kings of the Monsterverse are back in a new trailer, as Godzilla and Kong find themselves facing a new and mysterious threat in 2024. Godzilla X Kong: The New Empire sees both of the titans team up to take on this hostile force, and it looks like they've …							NM	
Godzilla Minus One Figure Revealed by Super7, Toho International	Super7 and Toho International are partnering together to release a brand new Godzilla figure in celebration of the upcoming Toho film Godzilla Minus One. The new figure will be a part of Super7’s Ultimates line, a line of premium figures that aim to deliver h…							Godzilla	Promo
‘Wish’ Had One Of Disney’s Worst Openings Ever For An Animated Movie—Here’s Why	“Wish” follows Disney’s “Indiana Jones and the Dial of Destiny” and “The Marvels” as another critical and financial disappointment this year.							Wish, Marvels	Box
'The Hunger Games: The Ballad of Songbirds & Snakes' Is The Best Film In The Franchise	Stop me if this one sounds familiar--The Hunger Games have outlived their usefulness. We're over it. The first few were lots of dark fun, but they stretched our appreciation past the breaking point by the time the last one limped... Read more...							HG	Plot
THE HUNGER GAMES: THE BALLAD OF SONGBIRDS AND SNAKES Los Angeles Premiere Red Carpet Rundown	We had to give the spotlight treatment to fellow attendees Viola Davis (because she’s fabulous) and Rachel Zegler (because we think we hate her dress), but make no mistake, plenty of other looks were served on the red carpet the LA premiere of The Hunger Game…							HG	Promo
London Premiere of THE HUNGER GAMES: THE BALLAD OF SONGBIRDS & SNAKES	Tom Blyth, Hunter Schaeffer, Rachel Zegler and Josh Andrés Rivera were all smiles on the red carpet at the London premiere of The Hunger Games: The Ballad of Songbirds and Snakes, possibly because the SAG AFTRA strike has ended but probably because they clear…							HG	Promo
Does Marvel Have a Gen-Z Problem? Just 19% of ‘The Marvels’ Audience Was 18-24	"Just 19 percent of ""The Marvels"" audience was 18-24; compare that to 40 percent for ""Captain Marvel."""							Marvels	Box
‘The Hunger Games: The Ballad Of Songbirds & Snakes’ Begins With Thursday Previews Around $6M – Box Office	EXCLUSIVE: Lionsgate’s prequel The Hunger Games: The Ballad of Songbirds & Snakes is looking at a Thursday night between $5.75M-$6M after showtimes that began at 3PM. Again, these numbers aren’t from the studio and we could see a slightly different result by …							HG	Box
